Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Farmingdale State,200.0,25.0,70.0,4.0,8.0,5.0,20.0,9.0,35.0,44.0,13.0,5.0,8.0,12.0,18.0,59.0,0.0,1.0,0.36,0.5,0.25,0.4
Fisher College,200.0,29.0,73.0,4.0,7.0,11.0,35.0,4.0,10.0,14.0,17.0,3.0,5.0,13.0,19.0,73.0,0.0,1.0,0.4,0.57,0.31,0.47
Fisk,200.0,18.0,66.0,8.0,13.5,5.5,30.5,7.5,25.0,32.5,8.0,7.5,2.5,17.5,12.0,49.5,0.0,2.0,0.27,0.59,0.18,0.35
Florida,200.0,28.92,63.33,18.92,26.58,7.58,26.92,14.75,28.42,43.17,15.42,5.92,4.92,13.0,17.83,84.33,8.0,4.0,0.46,0.72,0.28,0.59
Florida A&M,202.5,24.0,56.6,13.0,21.1,6.3,20.0,7.0,20.7,27.7,11.8,8.4,3.2,15.2,19.3,67.3,3.0,7.0,0.43,0.6,0.31,0.49
Florida Atlantic,202.08,29.25,62.75,15.42,20.67,9.25,26.08,12.08,24.0,36.08,14.25,6.25,5.83,11.25,17.33,83.17,8.0,4.0,0.46,0.75,0.35,0.55
Florida Gulf Coast,204.17,29.75,66.33,14.58,19.92,9.0,26.25,11.33,21.75,33.08,15.42,8.92,3.08,11.25,20.83,83.08,5.0,7.0,0.45,0.72,0.36,0.52
Florida International,200.0,29.6,64.7,16.2,24.5,8.8,24.2,11.2,22.5,33.7,18.0,11.1,5.8,12.1,18.6,84.2,6.0,4.0,0.46,0.65,0.38,0.51
Florida Memorial,200.0,17.0,56.0,19.0,25.0,5.0,19.0,10.0,22.0,32.0,6.0,10.0,3.0,12.0,21.0,58.0,0.0,1.0,0.3,0.76,0.26,0.32
Florida National University,190.0,19.0,58.0,6.0,8.0,5.0,15.0,9.0,15.0,24.0,11.0,3.0,3.0,23.0,18.0,49.0,0.0,1.0,0.33,0.75,0.33,0.33
Florida State,200.0,28.67,68.33,16.08,22.67,11.42,36.5,12.33,22.08,34.42,15.92,10.33,4.17,12.67,20.58,84.83,6.0,6.0,0.42,0.71,0.31,0.55
Fordham,200.0,29.83,63.08,9.42,14.17,7.25,23.58,11.75,26.83,38.58,17.08,7.25,2.83,10.92,14.92,76.33,8.0,4.0,0.47,0.68,0.31,0.57
Fort Valley State,200.0,16.0,59.0,18.0,31.0,6.0,20.0,8.0,23.0,31.0,10.0,9.0,2.0,14.0,21.0,56.0,0.0,1.0,0.27,0.58,0.3,0.26
Franciscan,200.0,22.0,72.0,10.0,13.0,6.0,21.0,7.0,15.0,22.0,9.0,11.0,3.0,10.0,22.0,60.0,0.0,1.0,0.31,0.77,0.29,0.31
Franklin,200.0,14.0,45.0,5.0,14.0,4.0,15.0,4.0,17.0,21.0,9.0,10.0,4.0,24.0,17.0,37.0,0.0,1.0,0.31,0.36,0.27,0.33
Franklin Pierce,200.0,28.0,62.0,4.0,6.0,12.0,30.0,5.0,29.0,34.0,20.0,9.0,5.0,19.0,16.0,72.0,0.0,1.0,0.45,0.67,0.4,0.5
Fresno Pacific,200.0,16.0,60.0,13.0,18.0,6.0,35.0,11.0,12.0,23.0,4.0,6.0,0.0,10.0,21.0,51.0,0.0,1.0,0.27,0.72,0.17,0.4
Fresno State,200.0,27.08,58.5,14.25,19.92,7.67,24.17,8.5,22.92,31.42,14.5,7.42,2.0,13.08,16.5,76.08,6.0,6.0,0.47,0.71,0.33,0.57
Furman,200.0,28.77,59.15,12.08,18.69,9.0,29.23,10.62,25.38,36.0,17.31,5.77,3.54,12.31,13.92,78.62,9.0,4.0,0.49,0.62,0.31,0.67
Gallaudet,200.0,23.0,64.0,2.0,3.0,5.0,23.0,7.0,13.0,20.0,8.0,9.0,1.0,16.0,9.0,53.0,0.0,1.0,0.36,0.67,0.22,0.44
Gardner-Webb,200.0,24.73,58.6,13.2,18.8,6.87,22.53,7.67,21.2,28.87,10.6,6.07,2.67,13.6,17.07,69.53,2.0,13.0,0.42,0.7,0.3,0.49
Geneva,200.0,16.0,45.0,7.0,11.0,8.0,23.0,6.0,16.0,22.0,11.0,8.0,1.0,22.0,12.0,47.0,0.0,1.0,0.36,0.64,0.35,0.36
George Fox,200.0,16.0,52.0,12.0,18.0,6.0,26.0,5.0,17.0,22.0,5.0,2.0,0.0,14.0,15.0,50.0,0.0,1.0,0.31,0.67,0.23,0.38
George Mason,200.0,25.75,53.67,21.17,27.92,7.33,18.83,8.92,24.08,33.0,13.33,5.83,3.75,11.33,14.75,80.0,11.0,1.0,0.49,0.76,0.41,0.53
George Washington,200.0,29.0,59.92,19.92,27.17,8.92,25.42,10.25,24.5,34.75,15.83,7.75,3.33,12.5,18.67,86.83,8.0,4.0,0.48,0.71,0.35,0.58
Georgetown,204.17,26.33,60.25,19.33,26.67,6.08,20.83,10.33,23.67,34.0,15.83,7.25,4.83,8.33,18.5,78.08,8.0,4.0,0.44,0.74,0.29,0.51
Georgia,202.27,33.91,67.91,22.18,28.64,9.55,30.45,12.18,29.0,41.18,17.18,10.64,8.0,11.27,17.55,99.55,10.0,1.0,0.5,0.78,0.3,0.65
Georgia Southern,201.67,27.87,62.93,18.33,25.33,9.93,29.67,9.73,22.33,32.07,11.93,8.73,3.4,10.33,19.33,84.0,10.0,5.0,0.44,0.72,0.34,0.54
Georgia State,200.0,21.08,58.77,15.69,20.54,7.92,27.31,8.62,22.85,31.46,10.69,6.54,2.77,11.92,20.15,65.77,3.0,10.0,0.36,0.76,0.29,0.43
Georgia Tech,202.08,27.17,61.33,14.42,21.33,6.75,19.75,9.75,26.67,36.42,17.08,7.08,4.25,12.0,17.08,75.5,8.0,4.0,0.45,0.66,0.36,0.49
Georgian Court,200.0,20.5,64.0,12.0,22.0,7.0,32.0,8.5,15.5,24.0,12.5,9.0,3.5,13.5,20.5,60.0,0.0,2.0,0.32,0.56,0.22,0.43
Gonzaga,200.0,34.77,66.77,15.15,21.08,7.62,20.69,11.46,27.0,38.46,20.0,8.85,3.54,10.08,18.46,92.31,12.0,1.0,0.52,0.7,0.38,0.59
Grambling,200.0,23.82,52.27,17.82,24.91,6.0,18.09,7.73,20.0,27.73,13.0,8.64,3.73,14.36,19.18,71.45,5.0,6.0,0.46,0.72,0.33,0.53
Grand Canyon,200.0,25.82,58.27,17.45,23.09,6.45,21.73,10.91,24.82,35.73,13.73,6.55,2.64,12.0,17.64,75.55,7.0,4.0,0.45,0.76,0.28,0.54
Green Bay,201.79,24.21,52.64,17.64,24.71,7.0,21.36,5.86,22.14,28.0,12.86,5.14,2.64,10.07,17.86,73.07,6.0,8.0,0.46,0.7,0.32,0.55
Gwynedd-Mercy,200.0,24.0,65.0,4.0,7.0,8.0,28.0,6.0,13.0,19.0,14.0,10.0,2.0,10.0,6.0,60.0,0.0,1.0,0.37,0.57,0.29,0.43
Hampton,200.0,25.08,57.77,16.92,23.77,6.85,22.31,10.92,23.0,33.92,13.38,7.46,3.77,11.31,18.85,73.92,6.0,7.0,0.43,0.68,0.31,0.51
Hannibal-LaGrange,200.0,16.0,54.0,8.0,11.0,7.0,31.0,6.0,12.0,18.0,10.0,5.0,2.0,12.0,16.0,47.0,0.0,1.0,0.3,0.73,0.23,0.39
Hanover,200.0,20.0,61.0,6.0,7.0,9.0,34.0,9.0,15.0,24.0,13.0,4.0,2.0,14.0,14.0,55.0,0.0,1.0,0.33,0.86,0.26,0.41
Harris-Stowe,200.0,21.0,74.0,7.0,11.0,3.0,25.0,9.0,25.0,34.0,10.0,7.0,4.0,22.0,17.0,52.0,0.0,1.0,0.28,0.64,0.12,0.37
Harvard,200.0,25.92,54.83,11.75,15.0,7.0,19.33,6.92,22.5,29.42,14.0,7.5,2.92,10.75,13.5,70.58,6.0,6.0,0.47,0.81,0.36,0.53
Haskell (KS),200.0,21.5,61.5,8.5,9.5,8.0,25.5,4.0,19.0,23.0,12.5,9.0,3.0,15.0,19.0,59.5,0.0,2.0,0.35,0.93,0.31,0.38
Hawaii,200.0,26.5,56.83,20.5,28.42,6.92,22.42,9.58,27.67,37.25,14.08,6.5,3.42,12.92,17.83,80.42,10.0,2.0,0.47,0.72,0.31,0.57
Hawaii Pacific,200.0,28.5,65.0,11.0,15.5,9.5,28.5,8.0,18.0,26.0,15.5,8.0,1.0,6.5,19.5,77.5,1.0,1.0,0.44,0.75,0.33,0.52
Hawaii-Hilo,200.0,20.0,61.0,4.0,7.0,2.0,15.0,11.0,19.0,30.0,2.0,6.0,1.0,15.0,20.0,46.0,0.0,1.0,0.33,0.57,0.13,0.39
High Point,201.92,31.85,62.69,19.77,26.92,9.92,26.54,10.08,22.92,33.0,17.15,11.62,3.08,8.77,18.62,93.38,10.0,3.0,0.51,0.73,0.38,0.6
Hofstra,200.0,27.77,59.54,13.15,18.23,8.92,24.38,10.23,24.15,34.38,14.38,5.77,4.0,11.15,16.54,77.62,9.0,4.0,0.47,0.73,0.38,0.54
Holy Cross,200.0,23.77,56.15,11.46,16.77,7.23,23.92,7.38,21.15,28.54,11.15,6.62,1.38,10.77,14.31,66.23,5.0,8.0,0.43,0.7,0.3,0.51
Holy Cross (IN),200.0,25.0,70.0,5.0,7.0,4.0,23.0,11.0,21.0,32.0,11.0,6.0,2.0,12.0,12.0,59.0,0.0,1.0,0.36,0.71,0.17,0.45
Holy Family,200.0,22.0,55.0,7.0,8.0,10.0,28.0,9.0,13.0,22.0,13.0,8.0,0.0,16.0,16.0,61.0,0.0,1.0,0.4,0.88,0.36,0.44
Houghton,200.0,24.0,52.0,6.0,8.0,4.0,21.0,4.0,13.0,17.0,12.0,9.0,0.0,13.0,7.0,58.0,0.0,1.0,0.46,0.75,0.19,0.64
Houston,202.08,29.0,63.5,12.08,16.08,9.42,26.83,11.42,22.75,34.17,17.33,9.25,4.25,9.17,18.33,79.5,11.0,1.0,0.46,0.75,0.35,0.53
Houston Christian,202.08,25.58,55.58,13.5,20.83,6.75,21.17,8.83,21.67,30.5,15.25,6.83,4.0,11.67,14.67,71.42,5.0,7.0,0.46,0.65,0.32,0.55
Howard,199.5,25.64,56.5,17.79,25.0,6.5,18.5,9.71,22.43,32.14,14.79,9.5,3.29,12.57,20.57,75.57,9.0,5.0,0.46,0.72,0.36,0.5
Howard Payne,200.0,22.5,61.0,12.5,19.0,7.0,25.0,3.0,18.0,21.0,11.0,6.5,3.0,24.5,18.5,64.5,0.0,2.0,0.36,0.67,0.28,0.43
Huntingdon,200.0,32.0,82.0,10.0,15.0,9.0,29.0,11.0,18.0,29.0,16.0,4.0,0.0,8.0,18.0,83.0,0.0,1.0,0.39,0.67,0.31,0.43
Huston-Tillotson,200.0,17.0,55.0,8.0,19.0,5.0,20.0,4.0,24.0,28.0,7.0,11.0,2.0,23.0,21.0,47.0,0.0,1.0,0.31,0.42,0.25,0.34
IU Indianapolis,200.0,33.38,73.69,11.38,15.85,10.92,34.23,10.08,19.85,29.92,21.85,10.92,3.85,12.69,22.85,89.08,4.0,9.0,0.45,0.71,0.31,0.57
Idaho,202.08,27.42,60.0,15.92,20.75,11.92,30.83,9.08,25.92,35.0,15.75,5.75,2.0,11.08,18.42,82.67,8.0,4.0,0.46,0.77,0.39,0.54
Idaho State,200.23,25.69,55.23,15.92,21.62,8.31,24.38,10.38,20.23,30.62,13.15,5.69,4.38,11.23,16.38,75.62,7.0,6.0,0.46,0.74,0.34,0.56
Illinois,200.0,30.18,63.09,17.64,22.55,9.82,28.91,12.09,26.64,38.73,14.36,3.82,5.18,9.36,13.82,87.82,8.0,3.0,0.48,0.77,0.34,0.59
Illinois State,200.0,29.38,59.92,13.62,20.31,8.62,24.31,9.23,25.46,34.69,14.77,6.15,2.38,9.69,17.0,81.0,10.0,3.0,0.49,0.66,0.36,0.58
Illinois Tech,200.0,28.0,58.0,9.0,16.0,8.0,22.0,3.0,17.0,20.0,13.0,10.0,0.0,17.0,23.0,73.0,0.0,1.0,0.48,0.56,0.36,0.56
Incarnate Word,200.0,29.42,61.83,14.75,21.0,9.58,23.92,11.42,21.67,33.08,14.0,6.17,2.33,9.75,18.58,83.17,6.0,6.0,0.47,0.7,0.39,0.52
Indiana,200.0,28.58,58.83,17.08,22.42,10.75,29.83,7.83,25.08,32.92,19.67,6.25,2.92,10.25,18.17,85.0,9.0,3.0,0.48,0.77,0.36,0.62
Indiana State,205.77,27.15,59.85,13.54,18.85,8.54,27.92,7.85,24.85,32.69,17.08,6.77,2.62,13.0,15.38,76.38,7.0,6.0,0.45,0.74,0.3,0.57
Indiana University Columbus,200.0,27.0,56.0,16.0,28.0,7.0,16.0,3.0,22.0,25.0,20.0,10.0,2.0,36.0,15.0,77.0,0.0,1.0,0.48,0.57,0.44,0.5
Indiana University East,200.0,25.0,65.5,7.0,11.5,9.0,24.5,8.5,22.0,30.5,12.5,4.5,3.5,22.5,17.5,66.0,0.0,2.0,0.39,0.6,0.38,0.39
Iona,203.85,28.69,62.85,13.69,18.92,9.38,25.62,7.69,24.77,32.46,14.15,7.69,2.77,11.0,15.77,80.46,9.0,4.0,0.46,0.73,0.36,0.53
Iowa,200.0,28.17,53.25,15.75,21.5,8.42,21.5,7.92,20.75,28.67,17.33,8.42,2.17,9.5,18.5,80.5,10.0,2.0,0.53,0.71,0.39,0.62
Iowa State,200.0,33.42,62.58,14.33,20.92,9.33,22.42,9.5,22.92,32.42,18.75,10.5,3.42,10.08,15.33,90.5,12.0,0.0,0.53,0.68,0.4,0.6
Jackson State,200.0,20.92,57.42,11.0,14.92,7.92,26.0,6.58,19.0,25.58,9.75,6.67,2.5,14.5,20.08,60.75,1.0,11.0,0.36,0.72,0.31,0.41
Jacksonville,202.08,27.67,60.42,12.83,19.0,8.92,25.92,11.17,21.75,32.92,14.0,7.33,2.75,12.92,19.42,77.08,5.0,7.0,0.45,0.68,0.33,0.53
Jacksonville State,200.0,25.73,59.55,14.45,22.64,8.73,26.09,11.36,26.45,37.82,13.55,6.27,3.0,10.55,17.09,74.64,5.0,6.0,0.43,0.6,0.33,0.5
James Madison,201.92,25.85,58.38,14.92,20.69,9.23,26.69,9.23,23.54,32.77,13.69,6.0,5.15,10.23,20.31,75.85,7.0,6.0,0.45,0.73,0.35,0.53
Jamestown,200.0,26.0,58.0,4.0,6.0,11.0,28.0,9.0,16.0,25.0,11.0,7.0,0.0,21.0,18.0,67.0,0.0,1.0,0.45,0.67,0.39,0.5
Jarvis Christian,200.0,18.5,52.5,16.0,24.5,4.5,13.5,7.5,16.5,24.0,4.5,8.0,2.5,17.5,13.0,57.5,0.0,2.0,0.35,0.66,0.33,0.36
John Brown,200.0,16.0,58.0,15.0,17.0,3.0,26.0,11.0,20.0,31.0,3.0,5.0,6.0,22.0,22.0,50.0,0.0,1.0,0.28,0.88,0.12,0.41
John Jay,200.0,21.0,63.0,7.0,11.0,10.0,31.0,7.0,16.0,23.0,10.0,6.0,3.0,12.0,15.0,59.0,0.0,1.0,0.33,0.64,0.32,0.34
Johnson & Wales (NC),200.0,25.0,62.0,4.0,6.0,4.0,21.0,7.0,21.0,28.0,18.0,1.0,3.0,17.0,12.0,58.0,0.0,1.0,0.4,0.67,0.19,0.51
Johnson & Wales (RI),200.0,24.0,68.0,0.0,1.0,9.0,34.0,4.0,15.0,19.0,17.0,8.0,1.0,12.0,10.0,57.0,0.0,1.0,0.35,0.0,0.26,0.44
Johnson C. Smith,200.0,31.0,73.0,6.0,9.0,11.0,28.0,10.0,23.0,33.0,20.0,6.0,0.0,17.0,19.0,79.0,0.0,1.0,0.42,0.67,0.39,0.44
Justice College,200.0,18.33,56.33,10.33,14.0,4.33,16.67,6.67,19.0,25.67,7.0,5.33,1.33,15.0,21.0,51.33,0.0,3.0,0.32,0.74,0.24,0.35
Kansas,202.08,26.25,57.33,14.67,19.75,7.5,21.92,8.33,28.08,36.42,14.83,4.75,6.33,10.08,14.92,74.67,9.0,3.0,0.46,0.73,0.34,0.54
Kansas Christian,200.0,20.0,63.0,2.0,6.0,5.0,33.0,6.0,19.0,25.0,8.0,9.0,1.0,25.0,12.0,47.0,0.0,1.0,0.32,0.33,0.15,0.5
Kansas City,200.0,24.77,59.54,14.38,20.69,6.08,20.62,9.31,21.62,30.92,12.08,6.92,2.38,14.54,17.62,70.0,2.0,11.0,0.42,0.69,0.29,0.47
Kansas State,200.0,31.5,63.5,14.08,19.75,10.92,26.5,9.83,23.83,33.67,19.17,6.83,4.5,12.83,18.92,88.0,8.0,4.0,0.5,0.75,0.41,0.56
Kean,200.0,24.0,57.0,9.0,12.0,7.0,18.0,5.0,27.0,32.0,9.0,3.0,4.0,13.0,13.0,64.0,0.0,1.0,0.42,0.75,0.39,0.44
Kennesaw State,204.0,31.92,67.42,19.67,28.92,9.83,28.17,14.0,28.75,42.75,14.92,7.83,4.83,13.25,21.17,93.33,8.0,4.0,0.47,0.69,0.34,0.57
Kent State,204.17,31.5,63.33,20.17,27.33,11.17,28.92,10.42,26.83,37.25,19.33,7.83,4.08,14.33,19.17,94.33,10.0,2.0,0.5,0.73,0.37,0.6
Kentucky,200.0,30.08,63.08,15.42,20.5,8.17,25.67,10.67,27.17,37.83,17.83,7.58,4.58,9.83,16.33,83.75,8.0,4.0,0.47,0.75,0.3,0.58
Kentucky Christian,200.0,19.25,56.5,10.5,15.0,6.75,22.75,4.75,15.75,20.5,8.5,9.0,1.5,17.0,15.0,55.75,0.0,4.0,0.34,0.68,0.3,0.37
Kentucky State,200.0,22.0,70.0,8.0,11.0,4.0,18.0,7.0,25.0,32.0,6.0,6.0,1.0,8.0,9.0,56.0,0.0,1.0,0.31,0.73,0.22,0.35
LIU,202.08,28.5,59.17,13.33,20.75,6.5,17.42,10.17,21.17,31.33,13.5,8.83,5.25,14.17,18.17,76.83,6.0,6.0,0.48,0.64,0.38,0.52
LSU,202.27,30.55,59.0,19.55,25.45,6.91,20.64,9.82,28.09,37.91,15.64,6.36,4.18,10.82,17.36,87.55,10.0,1.0,0.53,0.76,0.33,0.63
La Salle,200.0,23.85,56.77,13.85,18.85,4.77,16.15,10.77,22.23,33.0,13.85,6.62,2.77,13.54,16.23,66.31,4.0,9.0,0.42,0.72,0.3,0.47
La Sierra,200.0,19.5,60.0,5.5,6.5,6.5,24.5,5.5,26.5,32.0,9.5,2.5,3.5,18.0,11.0,51.0,0.0,2.0,0.33,0.84,0.28,0.36
La Verne,200.0,29.0,62.0,5.0,9.0,10.0,27.0,5.0,18.0,23.0,13.0,5.0,2.0,14.0,26.0,73.0,0.0,1.0,0.47,0.56,0.37,0.54
LaGrange,200.0,22.5,70.5,5.0,11.0,4.5,24.0,13.0,22.5,35.5,10.5,10.5,8.0,24.0,16.5,54.5,0.0,2.0,0.32,0.58,0.19,0.38
Lafayette,200.0,24.23,58.38,13.38,18.62,8.38,23.15,7.77,21.54,29.31,12.77,5.54,2.15,10.85,16.69,70.23,3.0,10.0,0.42,0.72,0.35,0.45
Lamar,202.27,27.36,62.82,11.09,16.45,7.09,21.91,11.45,23.36,34.82,16.18,8.45,5.73,11.64,17.45,72.91,5.0,6.0,0.43,0.66,0.32,0.49
Lancaster Bible,200.0,17.0,66.0,3.0,3.0,9.0,29.0,8.0,17.0,25.0,13.0,4.0,3.0,12.0,11.0,46.0,0.0,1.0,0.26,1.0,0.31,0.22
Lane,200.0,28.0,55.0,16.0,17.0,12.0,24.0,3.0,20.0,23.0,15.0,7.0,4.0,10.0,25.0,84.0,0.0,1.0,0.51,0.94,0.5,0.52
Lawrence,200.0,22.0,67.0,3.0,6.0,5.0,22.0,13.0,29.0,42.0,15.0,3.0,2.0,14.0,16.0,52.0,0.0,1.0,0.33,0.5,0.23,0.38
Le Moyne,200.0,26.25,56.17,15.58,20.75,8.25,22.67,7.67,22.83,30.5,15.67,6.42,4.33,12.25,18.58,76.33,5.0,7.0,0.47,0.75,0.36,0.54
LeTourneau,200.0,15.0,63.0,22.0,24.0,7.0,29.0,5.0,20.0,25.0,11.0,5.0,3.0,13.0,17.0,59.0,0.0,1.0,0.24,0.92,0.24,0.24
Lehigh,203.85,24.77,56.92,12.62,18.23,8.15,24.92,7.31,21.69,29.0,12.92,7.15,3.46,13.38,16.85,70.31,4.0,9.0,0.43,0.67,0.32,0.52
Lehman,200.0,14.0,47.0,9.0,17.0,5.0,17.0,7.0,20.0,27.0,4.0,6.0,5.0,17.0,18.0,42.0,0.0,1.0,0.3,0.53,0.29,0.3
Lewis & Clark,200.0,30.0,60.0,12.0,14.0,15.0,36.0,2.0,17.0,19.0,21.0,4.0,2.0,8.0,17.0,87.0,0.0,1.0,0.5,0.86,0.42,0.62
Liberty,200.0,30.09,56.55,8.55,13.82,11.45,27.82,5.0,24.0,29.0,18.18,6.82,3.64,8.36,14.55,80.18,8.0,3.0,0.53,0.61,0.41,0.65
Life Pacific,200.0,23.0,55.0,14.5,20.5,7.5,20.5,7.5,15.0,22.5,9.5,5.0,2.0,12.5,17.5,68.0,0.0,2.0,0.42,0.7,0.36,0.45
Lincoln (CA),200.0,22.33,63.33,9.0,13.67,10.67,33.0,6.33,9.67,16.0,11.67,6.0,1.67,16.67,14.33,64.33,0.0,3.0,0.35,0.65,0.33,0.39
Lindenwood,200.0,30.83,64.42,16.5,24.08,6.42,19.92,11.17,26.83,38.0,17.58,9.75,4.92,12.92,17.33,84.58,8.0,4.0,0.48,0.7,0.32,0.55
Lipscomb,200.0,29.58,65.0,12.75,16.5,11.42,31.58,9.42,24.42,33.83,20.0,8.83,3.17,11.92,16.83,83.33,7.0,5.0,0.45,0.76,0.36,0.54
Little Rock,200.0,25.25,56.33,9.42,15.83,6.25,16.67,9.42,18.92,28.33,13.0,8.25,3.75,14.67,15.92,66.17,3.0,9.0,0.45,0.57,0.38,0.48
Long Beach State,205.36,26.64,61.64,12.21,17.07,6.86,22.07,9.07,18.79,27.86,12.36,7.0,2.43,11.86,20.93,72.36,3.0,11.0,0.43,0.69,0.32,0.5
Longwood,203.57,25.36,56.86,20.71,27.07,5.21,19.21,10.21,22.93,33.14,12.93,8.71,2.29,14.07,19.07,76.64,7.0,7.0,0.45,0.77,0.28,0.54
Loras,200.0,24.0,59.0,17.0,22.0,9.0,22.0,13.0,20.0,33.0,11.0,11.0,3.0,16.0,20.0,74.0,0.0,1.0,0.41,0.77,0.41,0.4
Louisiana,200.0,20.46,53.15,10.15,15.31,6.46,21.62,7.23,20.77,28.0,9.23,5.23,2.77,11.62,21.69,57.54,2.0,11.0,0.38,0.66,0.29,0.44
Louisiana Christian,200.0,18.0,59.0,9.0,13.0,3.0,18.0,7.0,18.0,25.0,10.0,7.0,2.0,18.0,19.0,48.0,0.0,1.0,0.3,0.69,0.17,0.37
Louisiana Tech,200.0,26.6,58.8,11.0,17.3,5.4,19.1,11.6,26.4,38.0,12.4,6.9,4.7,11.3,15.6,69.6,6.0,4.0,0.45,0.65,0.27,0.55
Louisiana-Monroe,203.85,24.46,58.23,15.85,21.77,8.38,25.08,7.31,21.85,29.15,13.69,6.15,3.54,12.85,13.31,73.15,3.0,10.0,0.42,0.73,0.33,0.48
Louisville,200.0,30.0,63.17,19.0,24.83,12.58,35.0,11.5,27.92,39.42,19.08,8.25,3.42,11.25,19.33,91.58,10.0,2.0,0.47,0.76,0.36,0.62
Lourdes,200.0,27.0,70.0,6.0,7.0,7.0,26.0,12.0,18.0,30.0,13.0,8.0,2.0,15.0,9.0,67.0,0.0,1.0,0.39,0.86,0.27,0.46
Loyola (IL),200.0,22.69,53.85,15.54,22.15,8.46,26.31,8.92,20.62,29.54,13.31,3.38,4.0,11.08,16.54,69.38,4.0,9.0,0.43,0.69,0.32,0.52
Loyola (MD),200.0,26.85,59.77,12.92,20.15,9.15,27.31,9.31,21.92,31.23,14.62,6.69,3.77,12.15,17.54,75.77,4.0,9.0,0.45,0.63,0.33,0.55
Loyola Marymount,202.08,28.58,60.58,11.75,17.83,9.83,26.67,9.17,25.0,34.17,15.42,7.08,4.75,11.58,17.83,78.75,8.0,4.0,0.47,0.66,0.37,0.54
Lynchburg,200.0,26.0,69.0,19.0,26.0,5.0,23.0,12.0,25.0,37.0,9.0,9.0,2.0,16.0,29.0,76.0,0.0,1.0,0.38,0.73,0.22,0.46
Lyon,200.0,14.0,56.0,1.0,6.0,6.0,26.0,5.0,16.0,21.0,6.0,7.0,2.0,20.0,16.0,35.0,0.0,1.0,0.25,0.17,0.23,0.27
MIT,200.0,15.0,54.0,17.0,20.0,3.0,28.0,7.0,24.0,31.0,6.0,4.0,3.0,12.0,22.0,50.0,0.0,1.0,0.28,0.85,0.11,0.46
Maine,200.0,21.36,49.29,10.29,16.71,5.36,17.36,6.43,18.57,25.0,10.36,7.86,3.86,14.36,17.64,58.36,1.0,13.0,0.44,0.62,0.31,0.5
Maine-Augusta,200.0,26.0,67.0,7.0,10.0,9.0,32.0,3.0,20.0,23.0,15.0,10.0,3.0,12.0,20.0,68.0,0.0,1.0,0.39,0.7,0.28,0.49
Manhattan,203.85,26.38,60.08,17.54,23.08,7.85,22.46,8.92,21.31,30.23,13.85,8.54,3.08,10.92,14.85,78.15,5.0,8.0,0.44,0.76,0.35,0.5
Manhattan Christian,194.0,22.0,67.0,5.0,10.0,8.0,37.0,5.0,20.0,25.0,9.0,3.0,4.0,11.0,16.0,57.0,0.0,1.0,0.33,0.5,0.22,0.47
Manhattanville,200.0,21.0,61.0,10.0,15.0,10.0,25.0,1.0,23.0,24.0,13.0,8.0,0.0,11.0,13.0,62.0,0.0,1.0,0.34,0.67,0.4,0.31
Manor,200.0,14.0,48.0,8.0,10.0,2.0,20.0,3.0,15.0,18.0,5.0,6.0,1.0,18.0,8.0,38.0,0.0,2.0,0.29,0.8,0.1,0.43
Mansfield,200.0,20.0,53.0,12.0,22.0,2.0,18.0,5.0,24.0,29.0,8.0,9.0,3.0,21.0,22.0,54.0,0.0,1.0,0.38,0.55,0.11,0.51
Marist,200.0,27.36,59.73,11.18,14.64,7.73,22.82,9.09,24.73,33.82,16.55,7.91,2.91,11.27,16.82,73.64,8.0,3.0,0.46,0.77,0.34,0.53
Marquette,203.85,26.31,63.92,16.08,22.77,8.23,27.0,11.38,22.54,33.92,15.23,9.31,2.85,11.15,18.15,76.92,5.0,8.0,0.41,0.7,0.3,0.49
Marshall,200.0,27.58,60.75,13.25,17.5,9.67,27.92,9.83,25.33,35.17,16.5,5.42,5.75,13.42,20.83,78.08,7.0,5.0,0.45,0.76,0.34,0.55
Mary Baldwin,200.0,19.5,55.0,5.5,9.5,6.5,23.5,5.0,13.0,18.0,10.0,7.5,1.5,24.0,23.5,51.0,0.0,2.0,0.35,0.58,0.27,0.41
Maryland,202.08,23.83,57.58,21.0,28.0,8.5,25.17,10.92,22.42,33.33,11.17,5.83,2.5,13.58,17.42,77.17,6.0,6.0,0.41,0.74,0.33,0.48
Maryland-Eastern Shore,204.69,24.75,55.38,7.94,12.06,5.5,19.12,8.69,22.0,30.69,14.25,5.19,2.69,14.75,17.5,62.94,4.0,12.0,0.45,0.67,0.3,0.53
Marywood,200.0,23.0,68.0,3.0,4.0,4.0,32.0,10.0,15.0,25.0,12.0,9.0,0.0,15.0,19.0,53.0,0.0,1.0,0.34,0.75,0.12,0.53
Mayville State,200.0,22.0,56.0,9.0,14.0,5.0,25.0,6.0,11.0,17.0,13.0,6.0,10.0,24.0,16.0,58.0,0.0,1.0,0.39,0.64,0.2,0.55
McKendree,200.0,15.0,54.0,7.0,17.0,5.0,22.0,8.0,20.0,28.0,7.0,8.0,1.0,18.0,24.0,42.0,0.0,1.0,0.28,0.41,0.23,0.31
McMurry,200.0,18.0,63.0,11.0,15.0,8.0,31.0,7.0,18.0,25.0,10.0,6.0,5.0,16.0,20.0,55.0,0.0,1.0,0.29,0.73,0.26,0.31
